mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,Metro,0.04606681440080862,1.011041252176895,2211.556312985501,4.526349306106567
6,Metro,0.14087070155790743,1.0171378610256798,980.0499474686437,4.670280694961548
7,Metro,0.2117824761045673,1.0498626423632391,434.8135667054776,4.605367660522461
8,Metro,0.08133448795777842,1.0792826525668593,196.32507150124465,4.889370441436768
9,Metro,0.2930873698662453,1.226595890568513,65.98293977735857,4.508875846862793
10,Metro,0.4293214477985113,1.2997115713356606,51.01964918100254,4.524957656860352
11,Metro,1.0585880695642846,1.6460275206302368,32.445960951518025,4.636639356613159
12,Metro,2.5834152785070046,1.65446640057622,32.08168311897341,4.613086938858032
13,Metro,3.169732432394921,1.6697965019874874,31.865447743125145,4.950266599655151
14,Metro,2.830387875086192,1.6791070390508873,31.64661360704379,4.599735498428345
15,Metro,2.9756227739367884,1.6791070390508873,31.64661360704379,4.620261192321777
16,Metro,3.0955167813253794,1.6791070390508873,31.64661360704379,4.582302808761597
17,Metro,3.3673481566836982,1.6791070390508873,31.64661360704379,4.608714818954468
18,Metro,3.5754458606517914,1.6791070390508873,31.64661360704379,4.868335485458374
19,Metro,3.7811199360482135,1.6791070390508873,31.64661360704379,4.663182735443115
20,Metro,4.052132723752322,1.6791070390508873,31.64661360704379,4.618248701095581
