mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,HMC,0.023652890537371137,1.016426265053588,1238.4751238740835,5.9720048904418945
6,HMC,0.13993588855081146,1.0355551613318366,610.1043199482641,5.891442060470581
7,HMC,0.1448020908834904,1.1268597932060378,100.30671023498948,5.844968795776367
8,HMC,1.308986841684151,1.4279853054548561,39.94008331267493,6.008039712905884
9,HMC,1.8075028935054547,1.5490624395870882,35.108195502303204,5.812905550003052
10,HMC,1.5205244035962053,1.4845642509026729,37.40167213535828,5.7687764167785645
11,HMC,2.195650565100469,1.5482313693988012,35.04661906933654,5.732866287231445
12,HMC,1.210715944305926,1.4107875751757373,41.20706194152262,5.819812297821045
13,HMC,1.2697128738194596,1.411066340992789,41.16599037495491,5.918900966644287
14,HMC,1.4102929525226608,1.41035311334178,41.330107887565916,6.044249057769775
15,HMC,3.001034368913667,1.5484751633755927,35.0201936436463,5.759477376937866
16,HMC,1.5627094493101241,1.4105838574444738,41.21755413819052,5.748023271560669
17,HMC,1.720971579471653,1.4116613855093592,41.21652170908407,5.73856258392334
18,HMC,0.024798708631237492,1.2411841023337158,59.299827172338816,5.927168369293213
19,HMC,0.03775090976697739,1.2410253241972873,60.299651829038794,5.898352861404419
20,HMC,1.0298483747187608,1.3292763482427679,47.54614590383928,5.749813795089722
