mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,HMC,0.06284128523925278,1.024632070550249,704.8728003227083,5.895991325378418
6,HMC,0.2935779889107826,1.077694811092907,158.3172550308628,5.849964618682861
7,HMC,0.16059262973860283,1.2502160887581808,58.82231158844133,6.019409418106079
8,HMC,0.02803849769242464,1.314735314480808,48.77548021272948,5.833400726318359
9,HMC,2.2116306675175066,1.665940258740985,31.99556082662434,6.177857160568237
10,HMC,2.1119274115719495,1.6212197831187558,32.83375214126881,5.8468286991119385
11,HMC,2.7062245192716867,1.6679599448914535,31.74766551614128,5.73591685295105
12,HMC,3.63025450814433,1.6747802609331217,31.624135904530704,6.0149219036102295
13,HMC,3.810938727351754,1.6744189185274188,31.66383904530884,5.993616819381714
14,HMC,4.239583767223833,1.6737813222229634,31.633300928464777,6.08132529258728
15,HMC,4.467761193639241,1.6743473963417146,31.664478777737116,5.796158075332642
16,HMC,4.714725472973767,1.673884395843342,31.663632990516575,5.818290948867798
17,HMC,5.078923461654462,1.6739461339215256,31.636946653791522,5.8853583335876465
18,HMC,5.388557403687176,1.6736561918781079,31.642473653702066,6.0342628955841064
19,HMC,5.738783665002609,1.6735030506130395,31.667138322863934,6.113202095031738
20,HMC,6.032818344871361,1.674076346535641,31.65974150256811,5.842493534088135
