mu,sampler,wasserstein_distance,r_hat,ess,runtime
5,HMC,0.03283773292197312,1.025169554769412,819.0257893327705,5.931445360183716
6,HMC,0.01593340549027617,1.0873812461546293,155.9785933184123,6.246792316436768
7,HMC,0.18167585671116915,1.1209547001324416,114.88597982733675,6.270101308822632
8,HMC,1.496701182909741,1.4478407049956896,39.22280829188421,6.018631935119629
9,HMC,0.4175224181529239,1.4847661046207001,37.3384621557869,5.943705797195435
10,HMC,2.051638951045925,1.641269730685917,32.45165986177657,6.0378031730651855
11,HMC,2.7176891986121,1.6655875053732898,31.832725686867867,5.875986099243164
12,HMC,3.6272059120282636,1.6734312992146643,31.62403507868181,6.225205421447754
13,HMC,3.81032530156316,1.6733338477645319,31.66549718062742,5.899751901626587
14,HMC,4.23091785302179,1.6727993515327744,31.6475576729966,5.90204644203186
15,HMC,4.481241490079009,1.6727397135928928,31.642210975116836,5.808948040008545
16,HMC,4.73059094037968,1.6726945057871287,31.678824623521265,5.850640535354614
17,HMC,5.092483513368532,1.6727370108541957,31.671545977573643,6.108317613601685
18,HMC,5.392906780184436,1.6728924586998182,31.632484042319202,6.177236318588257
19,HMC,5.750358422399515,1.6728584233306003,31.68040660328767,5.959988832473755
20,HMC,6.0439852573373045,1.6727522788892073,31.699568243722563,5.999009132385254
